idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,96,128,32,40,191,128,126,102,174,628741,0.4227293478209713
2,32,96,64,75,170,96,92,99,141,366048,0.2461096577305614
3,8,96,144,101,241,144,99,123,95,219849,0.14781384447505844
4,80,56,48,8,102,80,66,137,137,190780,0.1282695179370916
5,40,72,48,68,113,72,70,110,139,31134,0.020932713971346103
6,224,192,96,23,146,224,201,128,180,25819,0.017359213144028555
7,216,216,112,30,123,216,215,114,179,24966,0.0167857049209426
