idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,104,192,112,63,117,192,181,85,160,65750,0.5589703044369065
2,208,104,160,164,128,208,148,176,117,43020,0.36573235736693105
3,224,160,208,158,73,224,187,159,113,6863,0.058345447898866754
4,104,104,96,30,20,104,112,126,133,1444,0.012276093073869095
5,56,200,224,94,191,224,190,99,105,322,0.0027374667380788424
6,200,120,96,7,133,200,149,157,155,228,0.0019383304853477518
