idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,104,104,104,0,0,104,112,128,128,23223,0.4734846167961343
2,0,0,0,0,0,0,0,128,128,19169,0.3908292046404469
3,176,176,176,0,0,176,183,128,128,5872,0.11972189940261382
4,136,136,136,0,0,136,145,128,128,783,0.015964279160804944
