idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,184,200,248,113,66,248,206,133,103,28393,0.5274568084711128
2,248,232,168,24,82,248,235,124,161,12876,0.23919747352777262
3,144,56,232,135,193,232,115,195,55,6436,0.11956158276054245
4,240,152,240,150,94,240,190,174,97,3583,0.06656139699052573
5,232,56,56,0,193,232,133,194,170,2542,0.04722273825004644
