idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,192,224,168,47,64,224,219,107,152,75329,0.5593266903280417
2,208,40,56,177,206,208,117,192,162,29280,0.21740744590801764
3,120,88,88,0,68,120,104,141,133,8712,0.06468762529886099
4,208,96,152,165,137,208,143,178,119,5862,0.043526039887732224
5,16,120,80,78,221,120,113,90,142,5679,0.04216724335080711
6,16,112,192,104,234,192,118,132,79,5339,0.03964270333684789
7,56,56,128,120,143,128,70,150,87,2821,0.020946256998173422
8,216,176,88,21,151,216,188,132,178,1656,0.01229599489151903
