idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,16,64,224,113,237,224,93,176,44,15913,0.41561324697033014
2,240,232,16,29,238,240,230,111,215,8235,0.21508044295862933
3,248,200,64,22,189,248,211,132,198,7206,0.18820518178019222
4,224,48,48,0,200,224,127,194,172,6934,0.18110112829084832
