idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,184,176,136,25,67,184,183,124,150,95344,0.87444283434525
2,144,136,120,20,42,144,145,128,138,8547,0.078388392611479
3,152,136,128,10,40,152,148,133,135,5143,0.047168773043270905
