idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,216,80,104,175,161,216,136,183,143,132050,0.4839690963466839
2,96,104,192,118,128,192,120,149,81,66424,0.24344690083856213
3,8,88,160,104,242,160,95,135,83,52391,0.1920153345452413
4,24,136,200,101,224,200,138,122,87,13311,0.04878540432768428
5,40,40,56,120,73,56,43,132,118,8672,0.03178326394182842
