idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,240,112,192,161,136,240,166,186,109,193223,0.9479661873433123
2,120,216,240,96,128,240,208,106,107,10476,0.05139602313704134
3,8,8,8,0,0,8,6,128,128,130,0.0006377895196463702
