name,level,score,thickness_px
1,3,7,22.0
10,2,9,10.4
11,2,9,10.4
12,2,9,10.4
14,2,9,10.4
1pg06,2,9,10.79
1pg09-1,2,8,8.79
1pg09-2,2,8,8.0
1pg13-1,2,8,8.79
1pg14-2,2,10,12.0
1xg1-2,2,8,8.0
2,1,2,4.0
2xg1,2,8,8.0
2xg2-1,2,8,8.39
2xg2-2,2,8,8.39
2xg3,2,9,9.99
2xg4,1,3,6.0
2xg5,2,9,10.4
2xg6,2,8,8.39
2xg7,1,3,7.19
2xg8,2,8,8.0
2xg9,2,9,10.4
a,1,3,7.19
b,2,8,8.0
c,1,3,6.39
d,1,3,5.6
