idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,216,80,104,175,161,216,136,183,143,30301,0.3378414538967555
2,80,128,224,110,164,224,139,142,74,12880,0.14360575314973797
3,232,112,200,158,132,232,164,185,104,11809,0.13166462258891737
4,184,224,160,49,73,224,217,104,155,11295,0.12593377188092317
5,168,184,192,100,32,192,188,124,122,10206,0.11379195005017281
6,152,144,144,0,13,152,154,131,129,3951,0.04405173374958189
7,224,192,160,15,73,224,203,135,148,3264,0.036392016947262795
8,144,128,120,10,42,144,140,133,134,3251,0.03624707325231352
9,160,160,216,120,66,216,173,140,100,2733,0.030471624484334933
