idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,136,136,128,30,15,136,144,126,132,476091,0.5931629852323173
2,136,80,96,171,105,136,104,154,129,218612,0.2723692456433903
3,80,48,64,165,102,80,62,146,124,36575,0.0455688853283763
4,32,88,32,60,162,88,83,97,155,33904,0.042241079649303355
5,88,72,104,135,78,104,85,142,112,22704,0.02828697122338908
6,88,64,88,150,70,88,78,143,118,5535,0.006896070547985313
7,144,80,104,169,113,144,108,158,126,4613,0.005747348407923442
8,72,24,32,175,170,72,42,151,135,4159,0.005181708655658703
9,56,48,40,15,73,56,52,130,134,438,0.0005457053116562904
