idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,224,80,144,167,164,224,142,189,123,46770,0.4231698379522814
2,208,40,48,179,206,208,117,191,167,37064,0.33535101291133973
3,72,160,120,76,140,160,152,92,141,7494,0.06780489128959583
4,136,216,248,99,115,248,210,112,105,6060,0.05483021633506148
5,152,216,248,100,99,248,212,116,106,4878,0.04413560978257919
6,136,80,152,143,121,152,110,164,98,4765,0.043113198157849496
7,16,128,192,101,234,192,130,123,87,3492,0.031595233571292854
