idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,112,120,216,118,123,216,138,151,78,50264,0.5383025435073627
2,240,112,192,161,136,240,166,186,109,27059,0.2897884872824632
3,128,200,104,53,122,200,189,88,169,8856,0.09484337349397591
4,208,128,144,174,98,208,159,161,133,3248,0.03478447121820616
5,88,184,224,99,155,224,180,111,100,2072,0.022190093708165996
6,88,176,72,55,151,176,165,81,172,1876,0.02009103078982597
