idx,r,g,b,h,s,v,L,a,b_lab,pixels,proportion
1,216,88,104,176,151,216,139,179,145,95716,0.4617403301590977
2,240,96,176,163,153,240,157,191,114,72376,0.349146622671182
3,128,200,104,53,122,200,189,88,169,27067,0.13057300259534768
4,32,112,80,78,182,112,107,96,139,8739,0.04215751541289183
5,48,104,216,110,198,216,118,149,65,2111,0.010183603963452874
6,24,128,216,104,227,216,134,133,75,939,0.0045297982575472516
7,80,208,240,96,170,240,199,103,102,346,0.00166912694048067
